population,islam,daoist,hindu,shintoism,sunni_muslim,buddhist,chrsitian,roman_catholic,protestant,greek_orthodox,lutheran_church_of_finland,GDP per capita $,GNP (billion),Land Area (sq km),birth rate / 1000 population,mortality rate,unemployment rate %,population below poverty line %,median age,population growth rate %,debt % of GDP,literacy rate %,inflation rate %,net migration rate migrants(s) /1000 population,urban population %,Continent,country
1214705,1,0,0,0,0,0,0,0,0,0,0,40300,10.3,760,14.64,2.61,15,0,30.9,2.814,65.8,86.5,2,16.1,89,Asia,Bahrain
1336718015,0,1,0,0,0,0,0,0,0,0,0,7600,2264,965961,12.29,7.03,4.3,2.8,35.5,0.493,18.9,92.2,3.2,-0.33,47,Asia,China
1189172906,0,0,1,0,0,0,0,0,0,0,0,3500,793,3287263,20.97,7.48,10.8,25,26.2,1.34,51.9,61,12,-0.05,30,Asia,India
126475664,0,0,0,1,0,0,0,0,0,0,0,34000,4988,377915,7.31,10.09,5,15.7,44.8,-0.278,197.5,99,-0.7,0,67,Asia,Japan
6508271,0,0,0,0,1,0,0,0,0,0,0,5400,13.5,89342,26.79,2.69,12.5,14,22.1,0.984,63.2,89.9,5,-14.26,79,Asia,Jordan
4143101,1,0,0,0,0,0,0,0,0,0,0,14400,22.1,10400,15.02,6.54,0,28,29.8,0.244,133.8,87.4,4,-6.04,87,Asia,Lebanon
24457492,0,0,0,0,0,1,0,0,0,0,0,1800,777,120538,14.51,9.08,0,0,32.9,0.538,0,99,0,-0.04,60,Asia,N._Korea
48754657,0,0,0,0,0,0,1,0,0,0,0,30000,777,99720,8.55,6.26,3.7,15,38.4,0.23,22.7,98,3,0,83,Asia,S._Korea
21283913,0,0,0,0,0,1,0,0,0,0,0,5000,22.8,65610,17.42,5.92,5.8,23,30.8,0.934,81.9,91,5.9,-2.16,14,Asia,Sri_Lanka
78785548,1,0,0,0,0,0,0,0,0,0,0,12300,342,783562,17.93,6.1,12,17,28.5,1.235,42.8,87,8.6,0.51,70,Asia,Turkey
46754784,0,0,0,0,0,0,0,1,0,0,0,29400,1100,505370,10.66,8.8,37.9,19.8,40.5,0.574,60.1,97.9,2,3.89,77,Europe,Spain
16847007,0,0,0,0,0,0,0,1,0,0,0,40300,598,41543,10.23,8.85,6.6,10.5,41.1,0.371,62.6,99,1.3,2.33,83,Europe,Netherlands
10760305,0,0,0,0,0,0,0,1,0,0,0,23000,171,92090,9.94,10.8,20,18,40,0.212,93,93.3,1.4,2.98,61,Europe,Portugal
81471834,0,0,0,0,0,0,0,0,1,0,0,35700,2852,357022,8.3,10.92,11,15.5,44.9,-0.208,83.2,99,1.1,0.54,74,Europe,Germany
4670976,0,0,0,0,0,0,0,1,0,0,0,37300,167,68883,16.1,6.34,24.3,5.5,34.8,1.061,96.7,99,-0.9,0.86,62,Europe,Ireland
65312249,0,0,0,0,0,0,0,1,0,0,0,33100,2178,640427,12.29,8.76,22.6,6.2,39.9,0.5,82.4,99,1.7,1.46,85,Europe,France
10760136,0,0,0,0,0,0,0,0,0,1,0,29600,218,130647,9.21,10.7,25.8,20,42.5,0.083,142.8,99,4.7,2.32,61,Europe,Greece
5259250,0,0,0,0,0,0,0,0,0,0,1,35400,196,338145,10.37,10.24,20.5,0,42.5,0.075,48.3,100,1.7,0.62,85,Europe,Finland
49004031,0,0,0,0,0,0,0,0,1,0,0,10700,224,1214470,19.48,17.09,48.2,50,25,-0.38,32.3,86.4,0,0,0,Africa,South_Africa
26131703,1,0,0,0,0,0,0,0,0,0,0,24200,289,2149690,19.34,3.33,28,0,25.3,1.536,17.1,78.8,0,0,0,Middle_East,Saudi_Arabia
82079636,1,0,0,0,0,0,0,0,0,0,0,6200,92.9,995450,24.63,4.82,24.8,20,24.3,1.96,79.9,71.4,0,0,0,Africa,Egypt
30399572,1,0,0,0,0,0,0,0,0,0,0,3800,16,437367,28.81,4.82,15.3,25,20.9,2.4,0,74.1,0,0,0,Middle_East,Iraq
77891220,1,0,0,0,0,0,0,0,0,0,0,10600,187,1531595,18.55,5.94,23,18,26.8,1.24,16.6,77,0,0,0,Middle_East,Iran
3027959,1,0,0,0,0,0,0,0,0,0,0,25600,23,309500,24.15,3.45,15,0,24.1,2.02,4,81.4,0,0,0,Middle_East,Oman
13881336,0,0,0,0,0,0,1,0,0,0,0,1500,5.67,743398,44.08,12.61,14,64,16.5,3.06,26.7,80.6,0,0,0,Africa,Zambia
13338541,0,0,0,0,0,0,0,1,0,0,0,8200,21.5,1246700,42.91,23.4,0,40.5,18.1,2.03,20.8,67.4,0,0,0,Africa,Angola
34994937,1,0,0,0,0,0,0,0,0,0,0,7300,89.6,2381741,16.69,4.69,24.3,23,27.6,1.17,6.6,69.9,0,0,0,Africa,Algeria
21926221,0,0,0,0,0,0,1,0,0,0,0,900,5.37,581540,37.51,7.79,2.3,50,18.2,2.97,0,68.9,0,0,0,Africa,Madagascar
28728607,1,0,0,0,0,0,0,0,0,0,0,14700,126,329847,21.08,4.93,3.4,3.6,26.8,1.576,52.4,88.7,0,-0.39,72,SE_Asia_(ASEAN),Malaysia
